,director,actor2,genres,actor1,title,actor3,comb
4227,Jaco Booyens,Sebastian Aguilar,Drama Thriller,Nicole Smolen,8 days,Ivette Alvarez,Nicole Smolen Sebastian Aguilar Ivette Alvarez Jaco Booyens Drama Thriller
4228,Steve Miner,Dana Kimmell,Horror Thriller,Richard Brooker,friday the 13th part iii,Catherine Parks,Richard Brooker Dana Kimmell Catherine Parks Steve Miner Horror Thriller
4229,Danny Steinmann,Melanie Kinnaman,Horror Mystery Thriller,Tiffany Helm,friday the 13th: a new beginning,Dominick Brascia,Tiffany Helm Melanie Kinnaman Dominick Brascia Danny Steinmann Horror Mystery Thriller
4230,Michael Landon Jr.,Louise Fletcher,Drama,Henry Thomas,the last sin eater,A.J. Buckley,Henry Thomas Louise Fletcher A.J. Buckley Michael Landon Jr. Drama
4231,Jon Gunn,Delroy Lindo,Drama,Alexa PenaVega,do you believe?,Madison Pettis,Alexa PenaVega Delroy Lindo Madison Pettis Jon Gunn Drama
4232,Hayley Cloake,Kayla Ewell,Thriller,Brian Austin Green,impact point,Linden Ashby,Brian Austin Green Kayla Ewell Linden Ashby Hayley Cloake Thriller
4233,Tay Garnett,Greer Garson,Drama,Jessica Tandy,the valley of decision,Lionel Barrymore,Jessica Tandy Greer Garson Lionel Barrymore Tay Garnett Drama
4234,Shyam Madiraju,Ethan Peck,Drama Thriller,Jessica Lowndes,eden,Brad Schmidt,Jessica Lowndes Ethan Peck Brad Schmidt Shyam Madiraju Drama Thriller
4235,Harmage Singh Kalirai,Zohra Segal,Comedy Drama Romance,Saeed Jaffrey,chicken tikka masala,Shobu Kapoor,Saeed Jaffrey Zohra Segal Shobu Kapoor Harmage Singh Kalirai Comedy Drama Romance
4236,Rita Merson,James Wolk,Comedy Music Romance,Ryan Guzman,always woodstock,Jason Ritter,Ryan Guzman James Wolk Jason Ritter Rita Merson Comedy Music Romance
4237,Jon Knautz,Daniel Kash,Action Comedy Horror,Rachel Skarsten,jack brooks: monster slayer,Stefanie Drummond,Rachel Skarsten Daniel Kash Stefanie Drummond Jon Knautz Action Comedy Horror
4238,William Wyler,Teresa Wright,Drama Romance War,Myrna Loy,the best years of our lives,Dana Andrews,Myrna Loy Teresa Wright Dana Andrews William Wyler Drama Romance War
4239,Larry Clark,Nick Stahl,Biography Crime Drama,Kelli Garner,bully,Brad Renfro,Kelli Garner Nick Stahl Brad Renfro Larry Clark Biography Crime Drama
4241,Robert Fontaine,Arturo Castro,Crime Drama,Michael Derek,mi america,Brad Lee Wind,Michael Derek Arturo Castro Brad Lee Wind Robert Fontaine Crime Drama
4243,Patricia Cardoso,Martha Higareda,Drama,Rosie Perez,lies in plain sight,Cheyenne Haynes,Rosie Perez Martha Higareda Cheyenne Haynes Patricia Cardoso Drama
4244,Dan Perri,David Proval,Comedy Drama Mystery Romance Thriller,Travis Myers,sharkskin,Carmen Argenziano,Travis Myers David Proval Carmen Argenziano Dan Perri Comedy Drama Mystery Romance Thriller
4245,Neil Mcenery-West,Michael Chapman,Horror Sci-Fi Thriller,Walter Hendrix III,containment,Louise Brealey,Walter Hendrix III Michael Chapman Louise Brealey Neil Mcenery-West Horror Sci-Fi Thriller
4246,Anthony O'Brien,Maria Doyle Kennedy,Adventure Drama Western,James Ransone,the timber,Shaun O'Hagan,James Ransone Maria Doyle Kennedy Shaun O'Hagan Anthony O'Brien Adventure Drama Western
4247,Terence Young,Daniela Bianchi,Action Adventure Thriller,Robert Shaw,from russia with love,Lois Maxwell,Robert Shaw Daniela Bianchi Lois Maxwell Terence Young Action Adventure Thriller
4248,Michael Herz,Jessica Dublin,Action Comedy Horror Sci-Fi,Phoebe Legere,the toxic avenger part ii,Lisa Gaye,Phoebe Legere Jessica Dublin Lisa Gaye Michael Herz Action Comedy Horror Sci-Fi
4249,,Alan Autry,Crime Drama Mystery,Carroll O'Connor,in the heat of the night            ,Crystal R. Fox,Carroll O'Connor Alan Autry Crystal R. Fox  Crime Drama Mystery
4250,Woody Allen,John Beck,Comedy Sci-Fi,Woody Allen,sleeper,Mews Small,Woody Allen John Beck Mews Small Woody Allen Comedy Sci-Fi
4251,David Robert Mitchell,Ruby Harris,Horror Mystery,Maika Monroe,it follows,Jake Weary,Maika Monroe Ruby Harris Jake Weary David Robert Mitchell Horror Mystery
4252,Woody Allen,John Carradine,Comedy,Woody Allen,everything you always wanted to know about sex * but were afraid to ask,Lynn Redgrave,Woody Allen John Carradine Lynn Redgrave Woody Allen Comedy
4253,Robert Mulligan,Brock Peters,Crime Drama,Robert Duvall,to kill a mockingbird,William Windom,Robert Duvall Brock Peters William Windom Robert Mulligan Crime Drama
4254,George Miller,Bruce Spence,Action Adventure Sci-Fi Thriller,Vernon Wells,mad max 2: the road warrior,Kjell Nilsson,Vernon Wells Bruce Spence Kjell Nilsson George Miller Action Adventure Sci-Fi Thriller
4256,Stanley Kubrick,Shelley Winters,Crime Drama Romance,James Mason,lolita,Lois Maxwell,James Mason Shelley Winters Lois Maxwell Stanley Kubrick Crime Drama Romance
4257,Kimberly Peirce,Brendan Sexton III,Biography Crime Drama Romance,Alicia Goranson,boys don't cry,Jeannetta Arnette,Alicia Goranson Brendan Sexton III Jeannetta Arnette Kimberly Peirce Biography Crime Drama Romance
4258,Chris Kentis,Julia Taylor Ross,Drama Horror Mystery Thriller,Eric Sheffer Stevens,silent house,Adam Trese,Eric Sheffer Stevens Julia Taylor Ross Adam Trese Chris Kentis Drama Horror Mystery Thriller
4260,Alex Kendrick,Alex Kendrick,Drama,Ben Davies,courageous,T.C. Stallings,Ben Davies Alex Kendrick T.C. Stallings Alex Kendrick Drama
4261,Robert Rossen,Jackie Gleason,Drama Sport,George C. Scott,the hustler,Murray Hamilton,George C. Scott Jackie Gleason Murray Hamilton Robert Rossen Drama Sport
4262,Jack Conway,Spencer Tracy,Adventure Drama Romance Western,Hedy Lamarr,boom town,Claudette Colbert,Hedy Lamarr Spencer Tracy Claudette Colbert Jack Conway Adventure Drama Romance Western
4264,Chris Eyre,Irene Bedard,Comedy Drama,Michael Greyeyes,smoke signals,Gary Farmer,Michael Greyeyes Irene Bedard Gary Farmer Chris Eyre Comedy Drama
4265,Shari Springer Berman,James Urbaniak,Biography Comedy Drama,Josh Hutcherson,american splendor,Daniel Tay,Josh Hutcherson James Urbaniak Daniel Tay Shari Springer Berman Biography Comedy Drama
4266,Richard Linklater,Albert Delpy,Drama Romance,Vernon Dobtcheff,before sunset,Marie Pillet,Vernon Dobtcheff Albert Delpy Marie Pillet Richard Linklater Drama Romance
4268,Catherine Hardwicke,Sarah Clarke,Drama,Holly Hunter,thirteen,Kip Pardue,Holly Hunter Sarah Clarke Kip Pardue Catherine Hardwicke Drama
4269,Elia Kazan,Celeste Holm,Drama Romance,Dean Stockwell,gentleman's agreement,John Garfield,Dean Stockwell Celeste Holm John Garfield Elia Kazan Drama Romance
4270,Debra Granik,Shelley Waggener,Drama,Jennifer Lawrence,winter's bone,Lauren Sweetser,Jennifer Lawrence Shelley Waggener Lauren Sweetser Debra Granik Drama
4271,Kevin Macdonald,Brendan Mackey,Adventure Documentary Drama Sport,Nicholas Aaron,touching the void,Joe Simpson,Nicholas Aaron Brendan Mackey Joe Simpson Kevin Macdonald Adventure Documentary Drama Sport
4272,Henry King,Don Ameche,Drama Musical Romance,Tyrone Power,alexander's ragtime band,John Carradine,Tyrone Power Don Ameche John Carradine Henry King Drama Musical Romance
4273,Miranda July,Brad William Henke,Comedy Drama,Najarra Townsend,me and you and everyone we know,Miranda July,Najarra Townsend Brad William Henke Miranda July Miranda July Comedy Drama
4274,Charles Ferguson,George W. Bush,Crime Documentary,Matt Damon,inside job,Barney Frank,Matt Damon George W. Bush Barney Frank Charles Ferguson Crime Documentary
4275,Max Joseph,Emily Ratajkowski,Drama Music Romance,Vanessa Lengies,we are your friends,Jonny Weston,Vanessa Lengies Emily Ratajkowski Jonny Weston Max Joseph Drama Music Romance
4276,Jim Jarmusch,Gano Grills,Action Crime Drama Thriller,Henry Silva,ghost dog: the way of the samurai,Richard Portnow,Henry Silva Gano Grills Richard Portnow Jim Jarmusch Action Crime Drama Thriller
4277,David Ayer,Christian Bale,Action Crime Drama Thriller,J.K. Simmons,harsh times,Noel Gugliemi,J.K. Simmons Christian Bale Noel Gugliemi David Ayer Action Crime Drama Thriller
4278,Jerry Jameson,Leonor Varela,Crime Drama Thriller,David Oyelowo,captive,Sydelle Noel,David Oyelowo Leonor Varela Sydelle Noel Jerry Jameson Crime Drama Thriller
4279,Steven Soderbergh,Enrico Colantoni,Comedy Romance,Julia Roberts,full frontal,Blair Underwood,Julia Roberts Enrico Colantoni Blair Underwood Steven Soderbergh Comedy Romance
4280,Kevin Tenney,Tawny Kitaen,Horror Mystery Thriller,Kathleen Wilhoite,witchboard,Rose Marie,Kathleen Wilhoite Tawny Kitaen Rose Marie Kevin Tenney Horror Mystery Thriller
4281,,Amy Sedaris,Comedy,Stephen Colbert,strangers with candy            ,Maria Thayer,Stephen Colbert Amy Sedaris Maria Thayer  Comedy
4282,Kenneth Branagh,Brian Blessed,Drama,Julie Christie,hamlet,Richard Briers,Julie Christie Brian Blessed Richard Briers Kenneth Branagh Drama
4283,John Cameron Mitchell,Peter Stickles,Comedy Drama Romance,Sook-Yin Lee,shortbus,Raphael Barker,Sook-Yin Lee Peter Stickles Raphael Barker John Cameron Mitchell Comedy Drama Romance
4285,Gary Rogers,Kirby Heyborne,Adventure,Noah Danby,"the book of mormon movie, volume 1: the journey",Bruce Newbold,Noah Danby Kirby Heyborne Bruce Newbold Gary Rogers Adventure
4286,Charles Ferguson,Dick Cheney,Documentary War,Campbell Scott,no end in sight,Donald Rumsfeld,Campbell Scott Dick Cheney Donald Rumsfeld Charles Ferguson Documentary War
4287,Marielle Heller,David Fine,Drama Romance,Alexander Skarsgård,the diary of a teenage girl,Austin Lyon,Alexander Skarsgård David Fine Austin Lyon Marielle Heller Drama Romance
4288,,Jon Tenney,Comedy Drama Romance,Anne Hathaway,get real            ,Debrah Farentino,Anne Hathaway Jon Tenney Debrah Farentino  Comedy Drama Romance
4289,David Sington,Buzz Aldrin,Documentary History,John F. Kennedy,in the shadow of the moon,Neil Armstrong,John F. Kennedy Buzz Aldrin Neil Armstrong David Sington Documentary History
4290,Kelly Reichardt,Zoe Kazan,Drama Western,Bruce Greenwood,meek's cutoff,Shirley Henderson,Bruce Greenwood Zoe Kazan Shirley Henderson Kelly Reichardt Drama Western
4291,Fenton Bailey,Bill Maher,Biography Documentary History,Hugh M. Hefner,inside deep throat,Linda Lovelace,Hugh M. Hefner Bill Maher Linda Lovelace Fenton Bailey Biography Documentary History
4292,Bob Giraldi,Manny Perez,Crime Drama Romance,Danny Aiello,dinner rush,Ajay Naidu,Danny Aiello Manny Perez Ajay Naidu Bob Giraldi Crime Drama Romance
4293,Jill Sprecher,Bob Balaban,Comedy Drama,Alanna Ubach,clockwatchers,Jamie Kennedy,Alanna Ubach Bob Balaban Jamie Kennedy Jill Sprecher Comedy Drama
4294,Huck Botko,Krysta Rodriguez,Comedy,Matt Bennett,the virginity hit,Zack Pearlman,Matt Bennett Krysta Rodriguez Zack Pearlman Huck Botko Comedy
4296,David Duchovny,Mark Margolis,Comedy Drama,Robin Williams,house of d,Frank Langella,Robin Williams Mark Margolis Frank Langella David Duchovny Comedy Drama
4297,Mitchell Lichtenstein,Nathan Parsons,Comedy Fantasy Horror Thriller,Jess Weixler,teeth,John Hensley,Jess Weixler Nathan Parsons John Hensley Mitchell Lichtenstein Comedy Fantasy Horror Thriller
4298,Lance Mungia,Stephane Gauger,Action Adventure Comedy Drama Music Sci-Fi,Jeffrey Falcon,six-string samurai,Kim De Angelo,Jeffrey Falcon Stephane Gauger Kim De Angelo Lance Mungia Action Adventure Comedy Drama Music Sci-Fi
4300,Michael Dowse,Neil Maskell,Biography Comedy Drama Music,Paul Kaye,it's all gone pete tong,Kate Magowan,Paul Kaye Neil Maskell Kate Magowan Michael Dowse Biography Comedy Drama Music
4301,Hue Rhodes,Steve Buscemi,Comedy Drama,Peter Dinklage,saint john of las vegas,Romany Malco,Peter Dinklage Steve Buscemi Romany Malco Hue Rhodes Comedy Drama
4302,Shane Meadows,Annette Badland,Comedy Drama Romance Sport,Bob Hoskins,24 7: twenty four seven,Karl Collins,Bob Hoskins Annette Badland Karl Collins Shane Meadows Comedy Drama Romance Sport
4303,Roland Emmerich,Caleb Landry Jones,Drama,Jeremy Irvine,stonewall,Matt Craven,Jeremy Irvine Caleb Landry Jones Matt Craven Roland Emmerich Drama
4304,,Colin Ferguson,Comedy Drama Sci-Fi,Joe Morton,eureka            ,Salli Richardson-Whitfield,Joe Morton Colin Ferguson Salli Richardson-Whitfield  Comedy Drama Sci-Fi
4306,Danny Provenzano,Frank Vincent,Crime Drama,Vincent Pastore,this thing of ours,Chuck Zito,Vincent Pastore Frank Vincent Chuck Zito Danny Provenzano Crime Drama
4307,Bill Muir,Jansen Panettiere,Adventure Family Fantasy,Alex Kendrick,the lost medallion: the adventures of billy stone,Tiya Sircar,Alex Kendrick Jansen Panettiere Tiya Sircar Bill Muir Adventure Family Fantasy
4308,Richard LaGravenese,Jeremy Jordan,Comedy Drama Musical Romance,Anna Kendrick,the last five years,Charly Bivona,Anna Kendrick Jeremy Jordan Charly Bivona Richard LaGravenese Comedy Drama Musical Romance
4309,Noah Buschel,Amy Ryan,Drama,Merritt Wever,the missing person,Paul Adelstein,Merritt Wever Amy Ryan Paul Adelstein Noah Buschel Drama
4310,Brian Yuzna,Kent McCord,Horror Romance Sci-Fi,Melinda Clarke,return of the living dead iii,Sarah Douglas,Melinda Clarke Kent McCord Sarah Douglas Brian Yuzna Horror Romance Sci-Fi
4311,Hunter Richards,Chris Evans,Drama Romance,Jason Statham,london,Dane Cook,Jason Statham Chris Evans Dane Cook Hunter Richards Drama Romance
4312,Laurie Collyer,Kate Burton,Drama,Brad William Henke,sherrybaby,Michelle Hurst,Brad William Henke Kate Burton Michelle Hurst Laurie Collyer Drama
4313,Bruce McCulloch,Megan Mullally,Comedy Crime,Martin Starr,stealing harvard,Chris Penn,Martin Starr Megan Mullally Chris Penn Bruce McCulloch Comedy Crime
4314,Aaron Hann,Michael McLafferty,Drama Horror Mystery Sci-Fi Thriller,Jordi Vilasuso,circle,Kaiwi Lyman-Mersereau,Jordi Vilasuso Michael McLafferty Kaiwi Lyman-Mersereau Aaron Hann Drama Horror Mystery Sci-Fi Thriller
4315,James Watkins,Jack O'Connell,Horror Thriller,Michael Fassbender,eden lake,Lorraine Stanley,Michael Fassbender Jack O'Connell Lorraine Stanley James Watkins Horror Thriller
4316,Catherine Hardwicke,James Kyson,Thriller,Frances Fisher,plush,Marlene Forte,Frances Fisher James Kyson Marlene Forte Catherine Hardwicke Thriller
4317,Phil Claydon,James Corden,Action Comedy Fantasy Horror,MyAnna Buring,vampire killers,Silvia Colloca,MyAnna Buring James Corden Silvia Colloca Phil Claydon Action Comedy Fantasy Horror
4318,Ralph Ziman,Kenneth Nkosi,Action Crime Drama,Rapulana Seiphemo,gangster's paradise: jerusalema,Robert Hobbs,Rapulana Seiphemo Kenneth Nkosi Robert Hobbs Ralph Ziman Action Crime Drama
4319,John Simpson,Lee Evans,Crime Drama Thriller,Colin Salmon,freeze frame,Ian McNeice,Colin Salmon Lee Evans Ian McNeice John Simpson Crime Drama Thriller
4320,Colin Minihan,Sean Rogerson,Horror,Mackenzie Gray,grave encounters,Ashleigh Gryzko,Mackenzie Gray Sean Rogerson Ashleigh Gryzko Colin Minihan Horror
4321,Conor McMahon,Tommy Knight,Comedy Horror,Peter McQuinn,stitches,Jemma Curran,Peter McQuinn Tommy Knight Jemma Curran Conor McMahon Comedy Horror
4322,Chris Shadley,William Lee Scott,Crime Drama Horror Mystery Thriller,Daniel Baldwin,nine dead,Marc Macaulay,Daniel Baldwin William Lee Scott Marc Macaulay Chris Shadley Crime Drama Horror Mystery Thriller
4323,Simon Napier-Bell,Tim Rice,Documentary,Alice Cooper,"to be frank, sinatra at 100",Louis Walsh,Alice Cooper Tim Rice Louis Walsh Simon Napier-Bell Documentary
4324,Woody Allen,Charlotte Rae,Comedy,Woody Allen,bananas,Louise Lasser,Woody Allen Charlotte Rae Louise Lasser Woody Allen Comedy
4325,Simon Yin,Linus Roache,Thriller,Paul Sheehan,supercapitalist,Kathy Uyen,Paul Sheehan Linus Roache Kathy Uyen Simon Yin Thriller
4326,Jeff Crook,Mario Cimarro,Action Crime Drama Thriller,Nicholas Gonzalez,rockaway,Ricardo Chavira,Nicholas Gonzalez Mario Cimarro Ricardo Chavira Jeff Crook Action Crime Drama Thriller
4327,,Tim Daly,Comedy Drama,Steven Weber,wings            ,Amy Yasbeck,Steven Weber Tim Daly Amy Yasbeck  Comedy Drama
4328,Orson Welles,Everett Sloane,Crime Drama Film-Noir Mystery Thriller,Rita Hayworth,the lady from shanghai,Ted de Corsia,Rita Hayworth Everett Sloane Ted de Corsia Orson Welles Crime Drama Film-Noir Mystery Thriller
4329,Dave Payne,Lew Temple,Horror Thriller,Mircea Monroe,no man's land: the rise of reeker,Robert Pine,Mircea Monroe Lew Temple Robert Pine Dave Payne Horror Thriller
4330,James Cox,M.C. Gainey,Crime Drama,Jake Gyllenhaal,highway,Mark Rolston,Jake Gyllenhaal M.C. Gainey Mark Rolston James Cox Crime Drama
4331,Jonas Åkerlund,Saffron Burrows,Comedy Crime Drama,Noel Gugliemi,small apartments,Matt Lucas,Noel Gugliemi Saffron Burrows Matt Lucas Jonas Åkerlund Comedy Crime Drama
4332,Brad Copeland,Ben Schwartz,Comedy,Sunil Narkar,coffee town,Glenn Howerton,Sunil Narkar Ben Schwartz Glenn Howerton Brad Copeland Comedy
4333,Paul Bunnell,Kevin McCarthy,Comedy Fantasy Musical Sci-Fi,Kate Maberly,the ghastly love of johnny x,Paul Williams,Kate Maberly Kevin McCarthy Paul Williams Paul Bunnell Comedy Fantasy Musical Sci-Fi
4334,Phil Morrison,Curtiss Cook,Comedy Drama,Sally Hawkins,all is bright,Peter Hermann,Sally Hawkins Curtiss Cook Peter Hermann Phil Morrison Comedy Drama
4336,James Cox,Powers Boothe,Comedy Drama,Jon Mack,straight a's,Josh Meyers,Jon Mack Powers Boothe Josh Meyers James Cox Comedy Drama
4337,Richard Lester,Zero Mostel,Comedy Musical,Buster Keaton,a funny thing happened on the way to the forum,Phil Silvers,Buster Keaton Zero Mostel Phil Silvers Richard Lester Comedy Musical
4338,Michael Moore,Eddie Vedder,Documentary,Michael Moore,slacker uprising,Steve Earle,Michael Moore Eddie Vedder Steve Earle Michael Moore Documentary
4339,Tanner Beard,Kevin Alejandro,Action Adventure History Western,William McNamara,the legend of hell's gate: an american conspiracy,Glenn Morshower,William McNamara Kevin Alejandro Glenn Morshower Tanner Beard Action Adventure History Western
4340,Scott Dow,Wray Crawford,Comedy Horror,Trenton Rostedt,the walking deceased,Dave Sheridan,Trenton Rostedt Wray Crawford Dave Sheridan Scott Dow Comedy Horror
4341,Derick Martini,Bella Heathcote,Drama Horror Mystery Thriller,Kevin Zegers,the curse of downers grove,Tom Arnold,Kevin Zegers Bella Heathcote Tom Arnold Derick Martini Drama Horror Mystery Thriller
4342,Jerry Dugan,Michael Aaron Milligan,Thriller,Melissa Bolona,shark lake,James Chalke,Melissa Bolona Michael Aaron Milligan James Chalke Jerry Dugan Thriller
4343,Tim Hunter,Daniel Roebuck,Crime Drama,Keanu Reeves,river's edge,Ione Skye,Keanu Reeves Daniel Roebuck Ione Skye Tim Hunter Crime Drama
4344,Michael Polish,Anthony Edwards,Drama Fantasy,Peter Coyote,northfork,Jon Gries,Peter Coyote Anthony Edwards Jon Gries Michael Polish Drama Fantasy
4345,William Kaufman,Mike 'The Miz' Mizanin,Action Thriller,Paul McGillion,the marine 4: moving target,David Lewis,Paul McGillion Mike 'The Miz' Mizanin David Lewis William Kaufman Action Thriller
4346,Rodrigo Cortés,Samantha Mathis,Drama Mystery Thriller,Ryan Reynolds,buried,Erik Palladino,Ryan Reynolds Samantha Mathis Erik Palladino Rodrigo Cortés Drama Mystery Thriller
4347,Richard Ayoade,Paddy Considine,Comedy Drama Romance,Craig Roberts,submarine,Sally Hawkins,Craig Roberts Paddy Considine Sally Hawkins Richard Ayoade Comedy Drama Romance
4350,Kimberly Peirce,Judy Greer,Drama Fantasy Horror,Chloë Grace Moretz,carrie,Portia Doubleday,Chloë Grace Moretz Judy Greer Portia Doubleday Kimberly Peirce Drama Fantasy Horror
4352,Wes Craven,Lin Shaye,Horror,Johnny Depp,a nightmare on elm street,Amanda Wyss,Johnny Depp Lin Shaye Amanda Wyss Wes Craven Horror
4353,James Marsh,Philippe Petit,Biography Crime Documentary History Thriller,Paul McGill,man on wire,Jean-Louis Blondeau,Paul McGill Philippe Petit Jean-Louis Blondeau James Marsh Biography Crime Documentary History Thriller
4354,John Laing,Peter Feeney,Drama,Siobhan Marshall,abandoned,Rachel Nash,Siobhan Marshall Peter Feeney Rachel Nash John Laing Drama
4355,Jamal Hill,Adam Ratcliffe,Drama,Logan Browning,brotherly love,Faizon Love,Logan Browning Adam Ratcliffe Faizon Love Jamal Hill Drama
4356,Daniel Stamm,Ashley Bell,Drama Horror Thriller,Caleb Landry Jones,the last exorcism,Patrick Fabian,Caleb Landry Jones Ashley Bell Patrick Fabian Daniel Stamm Drama Horror Thriller
4357,Sam Taylor-Johnson,Ophelia Lovibond,Biography Drama Music,Kristin Scott Thomas,nowhere boy,Anne-Marie Duff,Kristin Scott Thomas Ophelia Lovibond Anne-Marie Duff Sam Taylor-Johnson Biography Drama Music
4358,Elia Kazan,Karl Malden,Drama,Marlon Brando,a streetcar named desire,Kim Hunter,Marlon Brando Karl Malden Kim Hunter Elia Kazan Drama
4359,Stanley Kubrick,Slim Pickens,Comedy,George C. Scott,dr. strangelove or: how i learned to stop worrying and love the bomb,Keenan Wynn,George C. Scott Slim Pickens Keenan Wynn Stanley Kubrick Comedy
4361,Benh Zeitlin,Gina Montana,Drama Fantasy,Quvenzhané Wallis,beasts of the southern wild,Dwight Henry,Quvenzhané Wallis Gina Montana Dwight Henry Benh Zeitlin Drama Fantasy
4362,J. Lee Thompson,Paul Williams,Action Sci-Fi,Roddy McDowall,battle for the planet of the apes,Claude Akins,Roddy McDowall Paul Williams Claude Akins J. Lee Thompson Action Sci-Fi
4363,Maggie Greenwald,David Patrick Kelly,Drama Music,Aidan Quinn,songcatcher,Jane Adams,Aidan Quinn David Patrick Kelly Jane Adams Maggie Greenwald Drama Music
4364,Vera Farmiga,Bill Irwin,Drama,Donna Murphy,higher ground,Michael Chernus,Donna Murphy Bill Irwin Michael Chernus Vera Farmiga Drama
4366,Morgan Spurlock,J.J. Abrams,Comedy Documentary,Quentin Tarantino,the greatest movie ever sold,Donald Trump,Quentin Tarantino J.J. Abrams Donald Trump Morgan Spurlock Comedy Documentary
4367,Jonathan Wacks,Gary Farmer,Comedy Horror,Steve Buscemi,ed and his dead mother,Jon Gries,Steve Buscemi Gary Farmer Jon Gries Jonathan Wacks Comedy Horror
4369,Ted Post,Bruce Dern,Western,Clint Eastwood,hang 'em high,Alan Hale Jr.,Clint Eastwood Bruce Dern Alan Hale Jr. Ted Post Western
4370,Richard Brooks,Jim Backus,Crime Drama Film-Noir,Humphrey Bogart,deadline - u.s.a.,Kim Hunter,Humphrey Bogart Jim Backus Kim Hunter Richard Brooks Crime Drama Film-Noir
4371,Tony Krantz,Tom Cavanagh,Horror Thriller,George Newbern,sublime,Cas Anvar,George Newbern Tom Cavanagh Cas Anvar Tony Krantz Horror Thriller
4372,Mitchell Altieri,Luke Edwards,Comedy Horror Thriller,Kimberley Crossman,a beginner's guide to snuff,Bree Williamson,Kimberley Crossman Luke Edwards Bree Williamson Mitchell Altieri Comedy Horror Thriller
4373,W.D. Hogan,Keenan Tracey,Action Sci-Fi,Tom Everett Scott,independence daysaster,Nicholas Carella,Tom Everett Scott Keenan Tracey Nicholas Carella W.D. Hogan Action Sci-Fi
4374,Corey Grant,Essence Atkins,Comedy Drama,Christian Keyes,dysfunctional friends,Tatyana Ali,Christian Keyes Essence Atkins Tatyana Ali Corey Grant Comedy Drama
4376,Lucky McKee,Will Estes,Drama Horror,James Duval,may,Nora Zehetner,James Duval Will Estes Nora Zehetner Lucky McKee Drama Horror
4377,Richard Boddington,CJ Adams,Adventure Family,Natasha Henstridge,against the wild,Erin Pitt,Natasha Henstridge CJ Adams Erin Pitt Richard Boddington Adventure Family
4378,David Hunt,Chris Cleveland,Horror,Matthew Alan,living dark: the story of ted the caver,Circus-Szalewski,Matthew Alan Chris Cleveland Circus-Szalewski David Hunt Horror
4380,J. Lee Thompson,Gordon Jump,Action Sci-Fi,Roddy McDowall,conquest of the planet of the apes,John Randolph,Roddy McDowall Gordon Jump John Randolph J. Lee Thompson Action Sci-Fi
4381,Todd Field,Sissy Spacek,Crime Drama,Tom Wilkinson,in the bedroom,Karen Allen,Tom Wilkinson Sissy Spacek Karen Allen Todd Field Crime Drama
4382,Steven R. Monroe,Chad Lindberg,Horror Thriller,Sarah Butler,i spit on your grave,Daniel Franzese,Sarah Butler Chad Lindberg Daniel Franzese Steven R. Monroe Horror Thriller
4383,Mark Illsley,Illeana Douglas,Comedy Crime Romance,Ally Walker,"happy, texas",Jeremy Northam,Ally Walker Illeana Douglas Jeremy Northam Mark Illsley Comedy Crime Romance
4384,Pawel Pawlikowski,Natalie Press,Drama Romance,Paddy Considine,my summer of love,Dean Andrews,Paddy Considine Natalie Press Dean Andrews Pawel Pawlikowski Drama Romance
4386,Sally Potter,Joan Allen,Drama Romance,Shirley Henderson,yes,Stephanie Leonidas,Shirley Henderson Joan Allen Stephanie Leonidas Sally Potter Drama Romance
4387,Frank Capra,Ann Miller,Comedy Drama Romance,Jean Arthur,you can't take it with you,Lionel Barrymore,Jean Arthur Ann Miller Lionel Barrymore Frank Capra Comedy Drama Romance
4388,Fred Zinnemann,Donna Reed,Drama Romance War,Montgomery Clift,from here to eternity,Deborah Kerr,Montgomery Clift Donna Reed Deborah Kerr Fred Zinnemann Drama Romance War
4389,John Ford,Ben Johnson,Western,Harry Carey Jr.,she wore a yellow ribbon,Victor McLaglen,Harry Carey Jr. Ben Johnson Victor McLaglen John Ford Western
4390,Brad J. Silverman,Michael Welch,Drama Music,Shawnee Smith,grace unplugged,Anthony Reynolds,Shawnee Smith Michael Welch Anthony Reynolds Brad J. Silverman Drama Music
4391,Dave Meyers,Clifton Powell,Comedy Drama,Eddie Griffin,foolish,Marla Gibbs,Eddie Griffin Clifton Powell Marla Gibbs Dave Meyers Comedy Drama
4392,David M. Matthews,Lamman Rucker,Crime Drama Thriller,Essence Atkins,n-secure,Tempestt Bledsoe,Essence Atkins Lamman Rucker Tempestt Bledsoe David M. Matthews Crime Drama Thriller
4394,Lluís Quílez,Pixie Davies,Horror Thriller,Stephen Rea,out of the dark,Alejandro Furth,Stephen Rea Pixie Davies Alejandro Furth Lluís Quílez Horror Thriller
4396,Francis Ford Coppola,Teri Garr,Drama Mystery Thriller,Harrison Ford,the conversation,Cindy Williams,Harrison Ford Teri Garr Cindy Williams Francis Ford Coppola Drama Mystery Thriller
4397,Romesh Sharma,Revathy,Romance,Annabelle Wallis,dil jo bhi kahey...,Bhoomika Chawla,Annabelle Wallis Revathy Bhoomika Chawla Romesh Sharma Romance
4399,Adam Goldberg,Marisa Coughlan,Drama Mystery,Judy Greer,i love your work,Nicky Katt,Judy Greer Marisa Coughlan Nicky Katt Adam Goldberg Drama Mystery
4400,Travis Zariwny,Gage Golightly,Horror,Dustin Ingram,cabin fever,Samuel Davis,Dustin Ingram Gage Golightly Samuel Davis Travis Zariwny Horror
